source,target
W4377989092,W2134408597
W4377989092,W2139311028
W4377989092,W2883957116
W4312608522,W1963636953
W4312608522,W1970422073
W4312608522,W2005363579
W4312608522,W2107206397
W4312608522,W2263170865
W4318588154,W3047353783
W3204160456,W2751884637
W3204160456,W3024487902
W3009292313,W1977656153
W3009292313,W2035571509
W807194068,W1598329825
W807194068,W1601681555
W807194068,W1967597150
W807194068,W2002274298
W807194068,W2029421905
W807194068,W2055692350
W4308721503,W1626857870
W4308721503,W2971614099
W4313729296,W2150167358
W4313729296,W2272663725
W4387466362,W3199573109
W2046209258,W4230196995
W3151974442,W2936180652
W4388807138,W4307863811
W4292325310,W2972109732
W1832725849,W2041547733
W1832725849,W2143870549
W3212176369,W3011127608
W3212176369,W3023310414
W4213023292,W1536044601
W4213023292,W2795619597
W3125254198,W2594747742
W3125254198,W2900717135
W4388096253,W4388096253
W4366548912,W2754148598
W4366548912,W3031266243
W4366548912,W3082758486
W4366548912,W3128703220
W4366548912,W3195786101
W4313249669,W2156697474
W4313249669,W2791106552
W4313249669,W3214750250
W4313249669,W4224947946
W4385276844,W135209033
W4291465584,W2079904248
W4291465584,W2149256502
W4291465584,W3183165802
W3086286055,W2098197289
W4294242829,W2461262332
W4294242829,W3004817061
W4385658797,W3108213199
W4385658797,W4210463969
W4385658797,W4280636348
W4385658797,W4285718996
W4220896650,W2164134920
W659454104,W2041103436
W659454104,W2074486195
W659454104,W2075740019
W659454104,W2084791137
W659454104,W2089722101
W659454104,W2107866791
W659454104,W2118146107
W659454104,W2145633803
W4290643762,W2956196863
W1973438512,W2084397646
W1973438512,W2133938585
W3189117543,W2807605139
W3205090244,W2135751443
W3197815705,W2176146085
W3197815705,W2982871349
W3186579328,W2095579007
W3186579328,W3186579328
W3109171267,W2328878930
W3109171267,W2510958326
W4221020370,W2053826827
W3000377420,W2759567503
W2992047411,W170699313
W2992047411,W2992047411
W3159172372,W2054357522
W4388538642,W3012930633
W4388538642,W3118529832
W4388538642,W3119065936
W4388538642,W3132264034
W4388538642,W3175951741
W4353031569,W1990489587
W4353031569,W2029421905
W4353031569,W2541006185
W4353031569,W2981787454
W4353031569,W3049101577
W3145104886,W13840275
W4378228029,W2791454206
W3203137974,W3016459245
W3203137974,W3023310414
W3203137974,W3036728744
W3045155036,W3045155036
W3155576568,W2909130664
W3155576568,W3161440785
W4224250415,W3207269065
W4224250415,W4224250415
W4220888383,W1502319633
W4220888383,W2095690490
W1521383031,W2107965914
W1521383031,W2410051813
W4385840413,W4382139811
W4384829826,W4295047583
W4384829826,W4323846333
W2282517905,W2327842477
W3199330811,W2791454206
W2756051198,W2036880487
W4317727187,W2075168255
W2976256461,W2002959975
W3127726932,W3003464250
W2955652854,W1920804662
W2385418356,W2044920343
W2792631200,W1434247398
W2792631200,W1602896123
W2792631200,W2059721203
W2792631200,W2064211616
W2792631200,W2092153621
W2792631200,W2115324825
W2792631200,W2131080600
W2792631200,W220413908
W2792631200,W3129399587
W4281803354,W2055576797
W4320892171,W4320892171
W4323847906,W2516544903
W4294861721,W3012930633
W4294861721,W3119065936
W4309409781,W2760248567
W4309409781,W3107948719
W4380989112,W4292408984
W4380989112,W4313461936
W3180567508,W2159915507
W3119854889,W1996123364
W3023882440,W2041547733
W3023882440,W998011698
W1980309802,W2096439713
W1980309802,W4301753437
W3142356647,W1508428810
W3142356647,W2092170296
W3167082267,W2952909637
W4386518658,W2128482782
W4295345778,W2515276506
W1606383423,W2156697474
W1606383423,W2405155693
W4387376477,W3127900448
W4312209839,W2995489361
W4379536713,W3127044557
W4372348296,W2619180946
W4372348296,W2924291936
W4372348296,W3118529832
W3097470572,W2525032245
W3097470572,W2803536715
W3158200236,W2515954835
W4312122529,W2115034679
W4319993031,W2158028399
W4319993031,W2345774916
W4319993031,W2922051179
W4387107246,W1970056704
W4387107246,W1984251944
W4387107246,W2095225049
W4387107246,W4322630159
W4327700148,W2941738604
W3179770681,W2769427272
W3179770681,W2999790257
W3179770681,W3179770681
W3117960683,W3111024970
W4307863811,W2590317362
W4307863811,W2916934088
W4307863811,W2922922779
W4307863811,W3004631135
W4307863811,W3023310414
W4307863811,W3031266243
W4307863811,W3123744334
W4307863811,W3135458912
W4307863811,W4240492820
W4307863811,W4285155165
W2608281843,W1925394383
W4312853323,W2136991753
W4362608755,W2406484478
W4318618761,W2568070280
W4318618761,W3012600558
W4387046464,W2579879805
W4387046464,W3112354127
W3152830160,W3016398924
W3152830160,W3016459245
W4387691805,W4387691805
W3033371897,W1536044601
W4206310132,W2033984896
W4206310132,W2888650516
W4206310132,W2921176335
W4206310132,W3179315457
W4384912633,W2188554598
W3137044175,W2015271233
W3137044175,W2205192760
W2755140662,W2064016929
W2088733252,W1566878323
W2088733252,W2138306461
W3146389935,W2472101782
W3197952547,W2053826827
W3197952547,W3189117543
W3003313137,W1975185085
W4239198843,W1990647683
W2952596984,W149887513
W2952596984,W1986284689
W4206289796,W2112097172
W1586568474,W2066343737
W3015789896,W2069464055
W2923986298,W1991270424
W2923986298,W1993450950
W2923986298,W2046103683
W2924571619,W2004891341
W2924571619,W2022289056
W2903328387,W2029421905
W2903328387,W2076175478
W2903328387,W2134408597
W2903328387,W2159843276
W4384340450,W2755872058
W2982461630,W2982461630
W2061569137,W2139376685
W3018804829,W2527761154
W4388499238,W2024804953
W4388760783,W2322003322
W4388760783,W2762563036
W4388760783,W2946698095
W4388760783,W2974080345
W4254567752,W1602896123
W4254567752,W1607867595
W4254567752,W1971389594
W4254567752,W1993538135
W4254567752,W2007374933
W4254567752,W2033283416
W4254567752,W2046103683
W4254567752,W2056290178
W4254567752,W57789963
W2613984971,W1481623920
W2909936290,W1970056704
W2909936290,W2095690490
W4386001428,W1838894066
W83328949,W2115274344
W4309039873,W4309039873
W1955223114,W125203768
W1955223114,W150714312
W1955223114,W1515667916
W1955223114,W1548343256
W1955223114,W1614038205
W1955223114,W1626857870
W1955223114,W1821491929
W1955223114,W1979745058
W1955223114,W2029249321
W1955223114,W2044561184
W1955223114,W2078872534
W1955223114,W2113169411
W1955223114,W2141268642
W1955223114,W2143870549
W1955223114,W2156697474
W1955223114,W2166736164
W1955223114,W2460200564
W4390147572,W2108724612
W4390147572,W2492576802
W4388493106,W2775307046
W4388493106,W3029063024
W4256118685,W1514652371
W4256118685,W1569719821
W4256118685,W1825240816
W4256118685,W1982529370
W4256118685,W204337882
W4256118685,W2082954226
W4256118685,W2086264512
W4256118685,W2169012476
W4256118685,W2169023159
W4389055220,W4225496787
W4382996142,W2592609689
W4382996142,W3102897014
W4382996142,W3112198440
W3161210350,W2135171800
W4237671260,W1550773856
W3112082954,W2046103683
W4387848811,W4322492253
W4318938964,W2024936552
W4318938964,W2405066962
W4318938964,W2935292274
W4318938964,W3010096538
W4318938964,W3039708592
W4318938964,W3173434375
W250536451,W1999601906
W250536451,W2001790159
W250536451,W2127312172
W250536451,W2159839218
W4307936063,W2040869593
W4307936063,W2517981418
W3041303499,W658299025
W4390879516,W3112422215
W4390879516,W4293591284
W4390393852,W4313403618
W4388820288,W2947680348
W4388820288,W4281756269
W4200498534,W2050323178
W4387672718,W4387672718
W4285390787,W2298894125
W4250609890,W2048213132
W3149764128,W2157177697
W3047275855,W1602139105
W3159455584,W1536044601
W3159455584,W2042565227
W3159455584,W2055576797
W3159455584,W2110378035
W2605504958,W1978169902
W4220759243,W1512710012
W4220759243,W2006651341
W4220759243,W2792196775
W3199676617,W2095307261
W3147099607,W1625666174
W3128535706,W2147324100
W4376171392,W2323621624
W4285284387,W2035081007
W4285284387,W2784750346
W4285284387,W4252477152
W4307203795,W1504632034
W4307203795,W2046103683
W4307203795,W2623135993
W4307203795,W2897329027
W4307203795,W2901483181
W4307203795,W640211172
W3171940451,W319690741
W4388429626,W2982301261
W3082349832,W2046103683
W4308605234,W2810500775
W2541662083,W100338539
W2557797035,W2084063869
W4386574157,W4220870208
W4386574157,W4313830503
W4318938626,W2106044274
W4384933238,W1762571624
W4384933238,W2038175459
W4306361930,W3181772106
W4388429572,W4388429572
W3103037309,W2609081203
W4327936502,W2341836947
W3024330775,W1501209756
W3024330775,W1589062974
W3024330775,W659200922
W3198801257,W1757792618
W3198801257,W2411863922
W3168386867,W3048733486
W3117711669,W1757792618
W3117711669,W2411863922
W200222609,W1581245805
W200222609,W2074577342
W200222609,W274656989
W3188667351,W2164134920
W4254272883,W4254272883
W4360779107,W4200563238
